1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.
	Shakeel, 2017, Explain it in detail.
	Abhishek Anand, 2017, Umax =2 Uavg for laminar flow.
	Tjs, 2017, Umax = -1/4u (Something which writing difficult). $%  $% And  Uavg.= -1/8u.
	Sunitha H S, 2017, Please can you describe the answer?
	Vinaykumar Vk, 2017, In laminar flow, the maximum velocity is 2 times the average velocity.
	Vinaykumar Vk, 2017, Vavg = 1/8myu.dp/dx.R^2. $% Vmax= 1/4myu.dp/dx.R^2.
	Mahesh Walde, 2017, Boss maximum velocity is 0.97 and avg velocity is  0.81 then how become its ratio 2?
	Sahil Sanjeev Salvi, 2017, Max. Velocity = 2 Avg. Velocity --> For Pipe. $% Max. Velocity = 1.5 Avg. Velocity --> For Plate.
	Michelle Mencias, 2018, If you solve this question for the laminar case the maximum velocity will be 2*uavg, 2*uavg, this means chaotic system dissipate more energy due to viscous effect. And can be related to the natural phenomenon as big eddies that form in the fluid consumes energy in form of angular velocity or vorticity and get converted to smaller eddies and eventually die out dissipating energy to the environment.
	Venkatesh Naidu, 2018, In laminar flow, for pipes max.velocity= 2*avg.velocity. $%  For parallel plates max.velocity=1.50*avg.velocity.
	Parrro, 2018, Please, Explain the process.
	Lalitha, 2018, Not getting the solution, Please explain clearly.
	Bhanu, 2018, Max.velocity= - 1 &div; 4u (dp &div; dx)*r^2                                   $% And avg. Velocity = -1 &div;8u (dp &div; dx)*-r^2, so that the ratio will be = 2.
	Adie, 2018, The answer is 3/2 or 1.25 for circular pipes.
	Chandan Rakha, 2018, @Adie.  $%  $% No, it's for plates 1.25.
	Harshit, 2019, Vmax/Vavg = 2 for laminar circular pipe flow. $% . $% . $% . $% Vmax/Vavg = 3/2  for laminar fixed plate  flow.
	Parsolian, 2020, Umax/U=[1+1.43F^.5]. $% Which is; $% Turbulent = 1.2-1.25. $% Laminare = 2. $% b/w plates = 1.5.
	Shravan, 2020, V(max) = 2V(avg.) $% So, Vmax/Vavg.= 2.
	Lavanyakondeti, 2021, Why answer is 2? Can you explain this answer?
	Supreeth, 2021, Uavg= (umax)/2 so ratio will be 2.
	Muhammad Bilal, 2021, v/umax = 0.5.
	Mesbah Ullah, 2021, The question is not clear where it is laminar or turbulant flow for oil in case of laminar it is 2   see Hagen–Poiseuille equation. $%  $% For some cases, it may 0.5. One thing must be clear that avg velocity is half of the max velocity and max velocity always exist at the centre of pipe.



1181. The shear stress distribution in viscous fluid through a circular pipe is :
	Kanishk, 2013, The expression is given as: $%  $% Tau = del(p)/del(x) * r/2. $%  $% where r = distance from the central axis. $%  $% So the answer should be B.
	Ujwal, 2013, Shear stress is maximum at the pipe faces and will be minimum at the center. Velocity will be max at the center and minimum at the face of pipe.
	Magnus Hwosafe, 2013, The answer is correct; the velocity is maximum @ the centre hence the shear stress being proportional to the velocity gradient is also maximum.
	Prashant Tomar, 2015, Shear stress is minimum in center and maximum at face.
	Ejaz Ahmad, 2015, In circular pipe Shear stress is minimum at center and maximum at face inside the pipe because it varies with are i.e radius keeping dp/dx is constant but in case of velocity i.e velocity is maximum at center and minimum at face inside the pipe. $%  $% Hence answer should be B.
	R.Verman, 2016, Answer should be B.
	Parth Bhai, 2016, Yes, the answer should be option B.
	Aman, 2016, Shear is maximum at wall surface and velocity is maximum at center of pipe.
	Shailendra Kumar, 2016, Answer should be D because shear stress is 0 at centre and maximum at surface not inside the surface.
	Sarath Kumar, 2016, Answer 'A' because shear stress is maxed at faces n min at center as viscous flow is nothing but laminar flow.
	Baloch, 2017, Stress increases linearly with distance from the centre, $%  $% i.e min at centre and max at the boundary of the pipe.
	Pavankalyan, 2017, As it is a viscous liquid it offers some resistance. So, shear stress will be min. At centre and max. At surface of the pipe. So, the answer should be B. If it is non-viscous fluid then answer is correct.
	Sk Imtiaj Alam, 2017, Actually, shear stress is max at inside the surface of pipe and min at the centre but distribution of shear stress is linear. So answer is (C).
	Sachinreddy, 2017, Answer B is right because shear stress varies linearly from the centre of the pipe to the boundary. $%  $% It Means zero shear stress at centre & Maximum at the boundary.
	Jagmohan, 2017, Shear stress is minimum at the centre.
	Sarang Mote, 2017, I think the correct answer is B.
	Udk Soni, 2017, It is min at centre and max at the boundary.
	Athira, 2017, Shear stress distribution is linear in a pipe with max at its inner face and zero at the centre.
	Sandeep Maurya, 2017, In a pipe flow friction developed, Which cause velocity not constant throughout the section, so that shear stress never constant through the section. Shear stress proportional to the distance from center of the pipe. As radius 0 shear stress 0, and are maximum, shear stress will be maximum.
	R H, 2017, Answer will be (D) none of these. $%  $% As shear stress distribution is minimum at centre and maximum at pipe wall. Don't get confused.
	Vishnu Sharma, 2017, Shear stress is maximum at outer face of pipe and zero at the center of pipe of axis.
	Dilwar Hossain, 2017, Shear stress is minimum at the center and maximum at the face of wall inside the pipe.
	Venkatesh, 2017, B is correct. I also agree.
	Raj, 2018, Yes, the distribution diagram is K shaped. Hence, maximum at the inside faces and zero at centre. Option B is correct.
	Suraj, 2018, Shear stress across a section varies with r. Hence dp/dx across a section is constant. Hence shear across a section is linear. Hence shear stress is maxed at inside surface of the pipe.
	Jithin, 2018, The correct answer is B.
	Anomi, 2018, It is Zero at centre of pipe
	Rohit Singh Baghel, 2018, The Answer is correct because of the behaviour of shear stress that is one at Maximum at face and minimum at centre in constant throughout all the sections.
	Sudhir, 2018, Answer should be D.
	Dharmendra, 2018, Answer is B, because shear stress is min at centre and Max at inside of the surface.
	Basavaraj, 2018, For shear Max at the boundary min at center where as for velocity it is parabolic section.
	Asad, 2018, The Correct Answer is B. Because shear stress is maximum at distance r=D/2 from the centre of the pipe.
	Ajayveer, 2018, I think Option B should be correct.
	Hussain Azam, 2018, The Correct option is B. $%  $% Because velocity is maximum at the centre whereas the shear stress is maximum at the inner surface of pipe.
	Abahy Dubey, 2019, Option B is the correct answer.
	Pradeep, 2019, 1. Velocity distribution is parabolic. That is maximum at the centre. $%  $% 2. The shear stress distribution is zero at the centre and gradually increased though it the inner surface. $%  $% Here, "B" is the correct answer.
	Tanmoy Karmakar, 2020, Shear stress distribution is linear at center is zero and maximum at wall surface.
	Jafar, 2020, Here, τ = -dp/dx(r/2).
	Nadeem Qadir, 2021, Shear stress is more at the surface and minimum at center. $%  $% Answer should be B.
	Pkota, 2021, In the case of inviscous flow i.e. ideal flow shear stress distribution is of rectangular shape so answer c is correct. $%  $% In case of real flow steady and laminar then option B will be correct.
	Karam Bharmoria, 2021, B is the correct answer.
	Mjm Gcek, 2021, B is the correct answer.
	Baloch, 2021, I think the given answer is correct because it is being asked regarding Shear stress distribution in VISCOUS FLUID. $%  $% So, for VISCOUS FLUID shear stress distribution will be the same throughout the section.
	Baloch, 2021, I think the given answer is correct because it is being asked regarding Shear stress distribution in VISCOUS FLUID. $%  $% So, for VISCOUS FLUID shear stress distribution will be the same throughout the section.
	Mesbah Ullah, 2021, The option B is correct. $%  $% As per my knowledge, shear stress is linearly increased from the centre (r=0) and maximum at boundary where (r max).



1182. Product of Renold number, Froud's number and Mach number is :
	Krishna Chaitanya, 2015, Reynolds no = pvd/u. $%  $% Froude no = v/sqrt gl. $%  $% Mach no = v/c. $%  $% Product = pv3l/uc sqrt lg.



1183. Pick up the correct statement from the following :
	Rajesh, 2018, Critical flow is (V^2/g) or V/g?
	Basavaraj, 2018, V/√(gh)=1. $%  $% So the correct option is B.
	Soumya, 2020, What is tranquil flow and What is torrential flow?
	Trupti Jagle, 2020, Fr<1 the flow is subcritical or tranquil, streaming.  $% Fr>1 the flow is torrential or supercritical, shooting.  $% Fr=1 the flow is critical or chocking.
	Fahad, 2020, Thanks @Trupti Jagle.



1184. The side slope of Cipolletti weir is generally kept
	Narendra Kumar, 2017, 1 horizontal to 4 vertical, Cipoletti weir is trapezoidal in shape, the crest and sides of the weir plate are placed far enough from the bottom and sides of the approach channel to produce full contraction. The sides incline outwardly at a slope 0f 1 to 4.
	Nayan, 2017, I think it's 1 horizontal and 2 vertical.
	Suraj Kumar, 2018, Cipolletti weir is trapezoidal weir which has side slope of 1horizontal to 4 vertical. $%  $% Tanθ/2 =h/4 /h=1/4.
	Mohit, 2018, Here; Q= 3.36 L H^3/2.
	Eg. Yathart Goyal, 2021, I think it's 1 horizontal and 4 vertical.



1185. A cylinder 3 m in diameter and 4 m long retains water one side as shown in the below figure. If the weight of the cylinder is 2000 kgf, the horizontal reaction at B is 
	Ranjith, 2015, Can you explain?
	Sushant, 2015, Can anybody explain how it comes?
	Ratan, 2015, Horizontal force F = whA. $%  $% w = 1000*g. $% A = 3*4 = 12 m2. $% h = 3/2. $% F = 1000*12*1.5*g = 18000kgf.
	Rizgar Karim, 2015, Specific weight of water = 9.81 KN/m3. $%  $% Horizontal area = 3*4 = 12 m2. $%  $% Depth of center of gravity from the water surface = 3/2 = 1.5 m. $%  $% Horizontal force = Reaction at B = 9.81*12*1.5 = 176.58 KN/m2. $%  $% = 176.58*1000 = 176580 N/m2. $%  $% = 176580/9.81 = 18000 Kgf.
	Sagar Radadiya, 2017, Pressure at middle of pipe = pgh. $% = 1000*9.81*1.5 (pressure is min. at depth 0 & max. at depth 3m, so average 1.5m is taken). $%  = 14715 kg/sq. mt. $%  $% So, Force at B  = Pressure * Area. $%                         = 14715*(3*4), $%                         = 176580 N, $%                         = 176580/9.81 kgf, $%                         = 18000 kgf.
	Samynathan, 2017, How horizontal area is 3*4?
	Arshad Nirwan, 2017, 3 meter (dia of pipe) also known as  (hight), $% 4 meter long (size of pipe) also known as  (length), $% So, horizontal area is = height * length  (3 * 4)=12.
	Yossri, 2018, I agree  @Sagar Radadiya. $%  $% Pressure at middle of pipe = pgh. $% = 1000*9.81*1.5 (pressure is min. at depth 0 & max. at depth 3m, so average 1.5m is taken). $% = 14715 kg/sq. mt. $%  $% So, Force at B = Pressure * Area. $% = 14715*(3*4), $% = 176580 N, $% = 176580/9.81 kgf, $% = 18000 kgf.
	Sharma, 2018, Here area taken as (3*4) is the projected area on vertical plane.
	Jitendra, 2018, F=wAh, $% =2000*(3*4)*1.5/2, $% =18000kgf.
	Nami, 2018, @Jitendra. $%  $% How 1.5/2? Please explain in detail.
	Rabinarayan Hota, 2018, Here, area =3*4 taken as it is the Projected area.
	Premkumar, 2018, Then it is vertical.
	Divya, 2018, Centre of gravity. $%  $% So, the depth divided by 2.
	Ganesh, 2018, What is kgf?
	Rakeah Soni, 2019, Here 1kgf = 9.81N.
	Abhik, 2019, How Area is 3 * 4? It's a cylinder.
	Sonu, 2019, Here vertical due to water on the cylinder is cancel out. So that resultant vertical force equal to the weight of the cylinder. $%  $% Then horizontal force equal to the volume of pressure diagram i.e. $%  $% = (1/2)*3*1000*3*4. $%  $% = 18000kgf.
	Ladla Malik, 2021, Answer is 18000kgf.
	Zakir, 2021, Horizontal projected area = 3 * 4=12 m2. $% Total horizontal triangular force= 0.5* 3000* 3=4500 kgf per m strip of cylinder, $% Hence, the total force = 4500* 4 = 18000 kgf.



1186. Inside pressure in a hollow soap bubble in the air is : (where d is the diameter of the bubble)
	Radheshyam, 2016, T = 2pi r. $% Pcr = pi r^2. $%  $% Pcr = T. $% Pir^2 = 2piR. $%  $% P = 4T/R. $% R = D/2.
	Ramdev, 2017, Application of surface tension: $%  $% 1) liquid droplet  p = 4 σ/d. $% 2) soap Buble p = 8σ/d. $% 3) liquid jat  p = 2σ/d.
	Priya, 2019, Thank you @Ramdev.
	Puski, 2020, Thank you @Ramdev.
	Bikram Keshari Mallik, 2021, Thank you @Ramdev.



1187. The momentum correction factor (β) for the viscous flow through a circular pipe is
	Anee, 2016, Moment correction factor is 1.33. $%  $% Energy correction factor is 2.00.
	Karthik, 2017, How?
	Yasir, 2018, It is Laminar flow.
	Amu Bokato, 2019, Thanks @Anee.
	Shekhar, 2019, It is leminar flow.
	Babul Dev, 2019, Both values for laminar flow.
	Dinesh Hudda, 2021, For viscous flow: $% Moment correction factor -  1.2. $% Energy correction factor -  1.33. $%  $% For laminar flow: $% Moment correction factor - 1.33. $% Energy correction factor -  2.
	Deep Chakraborty, 2021, Viscous flow means laminar flow.
	Sanjeev, 2021, Nice explanation @Dinesh Hudda.



1188. A piezometer opening in pipes measures
	Nisha, 2017, Piezometer only measures positive pressure disadvantage of piezometer is it cannot measure negative pressures. Hence D cannot be the answer. It will also not measure velocity head as there is no kinetic energy. And it will also not give total pressure.
	Joshi, 2017, Why not total pressure?
	Ganesh Hm, 2017, @Joshi. $%  $% Piezometer will always gives datum head + pressure head and total head means datum head +pressure head+velocity head.
	Rabishesa Kumar Jha, 2021, Piezometer measures very low pressure.



1189. An independent mass of a fluid does not posses
	Atul, 2016, Not understand. Please explain this.
	Sanjay, 2017, It should be kinetic energy.
	Deeplanaik, 2017, How please explain?
	Tinsae, 2017, How? Please Explain.
	Indu, 2017, Can you please explain the correct answer for this?
	Indu, 2017, Can you please explain this question correctly?
	Nayan, 2017, It's independent mass not any external pressure or internal pressure. $%  $% And this mass fluid has elevation so, it posses kinetic and elevation energy.
	Garry, 2018, Agree @ Sanjay. $%  $% The answer should be kinetic energy.
	Mohit, 2018, Agree @Nayan.
	Prashalini, 2018, What is elevation energy?
	S. Gurjant, 2018, Elevation energy is potential energy in simple it takes as if we throw something from as high as possible it will hit at the bottom with the highest force. That's why when something displaces from hight it breaks down. I hope it helps.
	Bishnu, 2020, Sir. Sometimes elevation energy also called pressure energy how it? $%  $% Help me!



1190. While applying the Bernoulli's equation  = total head, the work any section done on the flow system, if any
	Magnus Hwosafe, 2013, I think the answer to this question is wrong, because, Bernoulli's equation represents conservation of energy. When a fluid does work, it is usually accompanied with some loss of energy which should be added to the right side of the equation.
	Dhiraj Bhise, 2015, Yes, I am also agree with you @Magnus Hwosafe.
	Rahul, 2015, It is added to the left side of the equation because work done is to increase the head, and it is subtracted if it has losses.
	Ramavtar, 2017, @Rahul, $%  $% Work done is output plus and head loss minus.
	Rahul Gupta, 2018, Correct answer is A it is added in the right side of the equation, because it is based on the conservation of energy.
	Pawan, 2018, I think the Answer is right because work is done on 'any section' needed energy so it (lost energy) must be added to the 'any section's side. It does not depend upon it is written on right side or left.
	Nilraj, 2018, @All. $%  $% In question- work done on flow system means increases energy which should be added to the left side. $%  $% If work done by the flow means a decrease in energy which should be added to the right side. $%  $% So the answer is correct.
