3297. A district road with a bituminous pavement has a horizontal curve of 1000 m for a design speed of 75 km ph. The super-elevation is
	Yugananth P, 2013, e = V^2/225R. $%  $%   = 75 * 75/(225*1000). $%  $%   = 1/40 (or). $%  $%   = 1 in 40.
	Dipak Bhatta, 2019, Grade compensation is not provided below 4% so, the answer is E.
	Munna Chaurasiya, 2020, As per IRC grade compensation is not necessary for gradient flatter than 4%. $%  $% Hence option E is the right answer.
	Harsha, 2020, I think there is no grade compensation.
	Ukssc, 2020, The maximum grade compensation =75/R. $% Given R=300m. $% Now grade compensation is = 75/300. $% which is =2.5. $%  $% So, option D is correct.
	Shubham Gour, 2021, Grade compensation =75/R%.  $% 75/300= 0.25.  $% Then given ruling gradient is 3%.  $% 3 - 0.25= 2.75 %.
	Shivansh_, 2021, @All. $%  $% There is a rule that if the calculated gradient comes less than 4%, then we can't provide it. Hence the minimum compensated gradient value is 4%.
	Sanat Kumar, 2021, As per IRC no compensation will be done to the gradient flatter than 4%. $%  $% So, the answer should be 3%.
	Meme, 2021, If the curve provided is <40 then use the formula 30+R/ 30. $%  $% And if curve>40 then use the formula 75/R. $%  $% Here we use the latter one;  $% Now, 75/300 = 0.25. $% Compensated G= 3-0.25 = 2.5.
	Meme, 2021, If the curve provided is <40 then use the formula 30+R/ 30. $%  $% And if curve>40 then use the formula 75/R. $%  $% Here we use the latter one;  $% Now, 75/300 = 0.25. $% Compensated G= 3-0.25 = 2.5.



3305. As per recommendations of I.R.C., traffic volume study is carried out for rural roads for 7 days continuously during
	Avi Ranjan, 2013, It should be in harvesting season as more vehicles are used for transportation.
	Manasa, 2016, What is meant by lean season?
	Ankush, 2016, Give the meaning of the lean season.
	Neelam, 2016, @All. $%  $% Lean season (the period between harvests that lasts from May to August), the problem is expected to get worse. In recent months, rains have been erratic and scarce, in turn significantly diminishing the crops produced by farmers. Entire communities are without sufficient food reserves to survive until the next harvests in September.
	Garry, 2017, Please mention IRC name and number.
	Garry, 2017, This is recommendation if IRC9.



3306. The minimum ratio of the radii of two circular curves of a compound curve, is kept
	Mursal Ismail, 2016, I have comment for this question please tell for why?
	Vikash, 2016, Please give the explanation, if anyone can.
	Sura, 2016, How 1.5m?
	Uma, 2016, Please give the correct answer with explanation.
	Swathi Rammyya, 2016, Please give a correct explanation how it will 1.5?
	Felicien Kagame, 2017, How 1.5? $%  $% Explain.
	Priyanka, 2017, Why? How? Explain this.
	Dashrath, 2017, Why 1.5? $%  $% Explain.
	Gsk, 2017, It is a general rule that the ratio of the radius of larger curve to the radius of smaller curve should not be greater than 1.5 to 1 for highways.
	Bhawana Dubey, 2017, How we calculate the minimum ratio of radii?
	Garry, 2017, It should be maximum not minimum because if it will be minimum then curvature changes in 2 curves will be very rapid and produce very uncomfortable situation to the driver.
	Khan, 2018, How? Please explain.
	Viru Kapoor, 2018, Given answer is correct it is a standard value.
	Yamini, 2018, Please explain.
	Parkash, 2018, Please explain the answer clearly.
	Parkash, 2018, Please explain this to me to get it.
	Ajay, 2018, How? Please explain the answer.
	Manish Arya, 2019, Please explain anybody explain this in detail.
	Priyanka Shah, 2019, Please, anyone explain the solution in detail.
	Raj, 2019, How 1.5? Please explain.
	Sameer, 2019, Please explain in brief.
	Pavan Kumar, 2019, How 1.5? please give any reference.
	Harsh Verma, 2019, As per IRC:73 1980, clause no 9.1.8, a ratio of 1.5:1 should be considered as a limiting value.
	Arvind Singh Rawat, 2020, Yes, you are correct, thanks@Harsh verma.
	Kcube, 2020, Right @Harsh Verma. $%  $% If the sharper curve has a very less radius than the ratio will be >1.5, thus a vehicle moving from a flatter curve to a much sharper curve will cause discomfort to the passengers.
	Sachin K S, 2020, To ensure a safe and smooth transition from curve to curve the radius of the flatter curve should not be disproportional to the radius of the sharper curve. $%  $% A ratio of 2:1 or preferably 1.5:1 should be adopted.
	Enin, 2020, The radius for the first curve  R1 not exceed 1.5 R2.
	Sagun Singh, 2021, How? Explain please.



3307. Border Roads Organisation for hilly regions, was formed in
	Ramesh Chand, 2013, 1958 is the wrong answer it should be 1960 as I am an employee of Border Roads Organisation.
	Rajesh, 2017, BRO was formed on 7 May 1960 to secure India's borders and develop infrastructure in remote areas of the north and North-East states.
	Haroon, 2018, Yes, agree @Ramesh Chand.
	Devesh Yadav, 2018, Hilly area 1954 is the correct answer.



3308. Pick up the incorrect statement from the following. The super-elevation on roads is
	Priya, 2013, Directly proportional to the velocity and also inversely proportional to the radius of curvature.
	Sagar Shah, 2013, Is it they are considering directly proportional to square of velocity?
	Srikanth Iiitbasar, 2013, Actually it is not directly proportional to width of pavement. Because, $%  $% Superelevation (e) = tan (tita) = sin (tita) = opp side /hyp= E/ width of pavement.
	Joce, 2014, It is directly proportional to the velocity square and inversely proportional to the radius of curvature.
	Tanmoy Saha, 2014, Superelevation(E) = Rate of superelevation(e)* Width of pavement(B). $%  $% So E directly proportional to B, $% So the correct option will be 'B' .
	Pawan, 2014, Equation e + f = v2/127 R. $%  $% Thus e directly proportional to velocity and inversely proportional to radius of curvature which  $% is right.  $%  $% So incorrect answer is option C inversely proportional to acceleration due to gravity.
	Bcr, 2014, e+f=(v*v)/gR $% So directly prop to v. $%  $% Indirectly prop to radius and gravity. $% Hence option A would be the answer.
	Bharathi, 2014, Super elevation is directly proportional to the square of the velocity and inversely proportional to the acceleration due to gravity, radius of the curvature.
	Prasanna, 2015, I think answer should be option (a), because question asking for incorrect statement.
	Padmini, 2015, e = WV^2/gR. $% V^2 is direct proportional.
	Sabariii, 2015, No @Mr. Prasanna, $%  $% Total super elevation = e*W. $%  $% Where e - rate of SE. $%  $% W - Width of pavement.
	Bhagchad Golhani, 2016, e is directly proportional to v^2 and also inversely proportional to R.
	Snehal, 2016, e is the rate of superelevation. $%  $% h = e * B is the super elevation (which is proportional to width).
	Pakeeza Jhan, 2016, Super-elevation = v^2/2r. $%  $% Hence, it should be directly proportional to square root of velocity and inversely proportional to the radius of curvature.
	Subeer Kumar, 2016, Superelevation is directly proportional to velocity of the vehicle because for particular curve on the road radius of curve remains constant for that curve.
	Dambar, 2016, Total super elevation E= e * W.
	Lucky Jaswal, 2016, directly proportional to velocity and width. $% Inversely to the radius.  $%  $% It seems wrong in acceleration.
	Pramit, 2017, According to me, It's directly proportional to the SQUARE of velocity.
	Engr Asad, 2017, W V^2 $% _____ $%    gr $%  $% Directly proportional = width and sq of speed (not velocity). $% Inversely = acceleration due to gravity and radius of the curve.
	Lone Khursheed, 2017, E = eB. $% Here in above relation;  $% e= Rate of super elevation,  $% And E = total super elevation. $%  $% Therefore total super elevation is directly proportional to width B. $% But rate of super-elevation that is e is not proportional to width as the product of e and B is equal to E. $%  $% So, option A is incorrect.
	Bikash Kabiraj, 2017, V^2/gr. $%  $% v-velocity of the vehicle,  $% g-gravitational force,  $% r-radius of the curve so right answer is option A.
	Surya, 2017, I think option A is the correct answer.
	Sameer Naik, 2017, 1) e=E/w. $% 2) e+f=v^2/gR. $%  $% Answer A is exactaly correct.
	Bicky Agarwal, 2017, Here, e+f=v^2/gR. $%  $% So, A will be answer.
	Sabin Acharya, 2017, E=eB.  $% e=v*v/gR. $%  $% SO,  $% E=v*v*B/gR. $% From final equation.  $% E directly proportion to width, square of velocity and, $% inversely proportional to the g and R. $% SO, ans B IS RIGHT.
	Amit, 2017, The correct answer is A.
	Amit, 2017, A is the right answer.
	Kajal Das, 2017, I think opt A is the actual incorrect statement. Because from the formulae E= e (rate of super elevation) * B (width of pavement) for designing super elevation, for a perticular pavement width B is same but rate of superelevation can be changed. So width is not proportional to value of superelevation (E). Again superelevation is provided for counteract centrifugal force which is ev^2/gR. So opt C is correct statement. So. Who answered opt A I will go with them.
	Satish, 2017, Basically super elevation is provided to counter the centrifugal force and to reduce the tendency of fast moving vehicles to overturn. If super elevation is less or zero vehicles will have to reduce their speeds to safely turn it. Hence answer B is correct.
	Misganaw, 2017, Actually, incorrect answer is opt A because when the width is extra large we need not provide super elevation and when the width is narrow we should increase super elevation to provide safe passage of vehicles.
	Rupam, 2017, Please, anyone explain me how's answer B?
	Srinu, 2017, e=v2/gR,  $%  $% So answer A is correct because question is asking incorrect statement, but superelevation is directly proportional to the square of velocity and inversely proportional to acceleration due to gravity and radius of curvature.
	Kshitij Mishra, 2017, As super elevation e+f=v^2/ (g.r) so it is directly proportional to the design speed option b is incorrect because the speed of vehicles is mentioned there in the statement not the design speed of the vehicle will differ for the different vehicle so it is incorrect. $%  $% Because s.e can be made on design speed.
	Vijay Rajput, 2018, Super elevation =V*2/gR=F/W<=b/2h. $% So, the answer is b.
	Rudresh Meena, 2018, A is correct because velocity of vehicle is directly proportional to super elevation.
	Rudresh Meena, 2018, A is correct because velocity of vehicle is directly proportional to super elevation.
	Rudresh Meena, 2018, A is correct because velocity of vehicle is directly proportional to super elevation.
	Santosh Kumar, 2018, e=V2/gr. $%  $% So, I think all option is true. But, e is directly proportional to the square of the velocity of the vehicle.
	Utsav, 2018, Directly proportional to velocity square I guess that's why it's incorrect here!
	Swar, 2019, e=tan (θ) = opp/adj = h/b = central rise/width. $%  $% So super elevation is inversely proportional to width of pavement. But they have given as  directly prop. So the answer is A.
	Pratibha Nishad, 2019, Directly proportional to the velocity and also inversely proportional to the radius of curvature.
	Anjan, 2019, e+f = (0.278V)'2/9.8R. $%  $% So, option A is correct.
	Pari.., 2019, Super elevation is inversely proportional to the radius. $%  $% E!=e B where e is the super-elevation.
	Jp Mahanta, 2020, Super elevation doesn't depends on road width, The E value (height of outer edge of road at super-elevation) depends upon e (rate of super-elevation).
	Benjifanai, 2020, Guys. Question is actually trick you. B is Right. $% E=eB. $% e=v*v/gR. $%  $% SO, $% E=v*v*B/gR. $%  $% From the final equation. $% E directly proportion to width, the square of the velocity and, inversely proportional to the g and R. $%  $% here, superelevation does not directly proportional to the velocity of vehicles, but the only square of the velocity. $%  $% SO, answer B IS RIGHT.
	Anomie, 2020, e=v^2/Rg so directly proportional to the square of thè velocity.
	Shiw Sanku Shaw, 2020, How?
	M Ishfaq, 2020, It is directly proportionel to quare of velocity not directly proportionl to single velocity.
	Dr. Anuj, 2021, For the total amount of superelevation, A, C, and D are correct.  $%  $% So, incorrect can only be B as it is proportional to the square of the speed and not the speed only.
	Khelan Banjare, 2021, B is the right option. $%  $% Agree @Anuj statement.
	Dinesh Sinha, 2021, Option A will be the answer. $%  $% Because, super elevation (e) = tan(theta)= Tangent/Base. $% So, if base ie. The width will increase then Tangent ie. The rise of the outer edge will be increased to maintain as tan (theta). After that theta (angle of inclination) will be the same. $% So, e= tan theta dependable on theta and not dependable on the width
	Roseline, 2021, I think option A is the right answer for this.



3309. The weaving length of a roadway is the distance
	Abc, 2015, What is weaving length of a road way?
	Amol, 2016, Weaving is an undesirable situation in which traffic veering right and traffic veering left must cross paths within a limited distance, to merge with traffic on the through lane. The German Autobahn system splits Autobahn-to-Autobahn.
	Pakeeza Jhan, 2016, Channelising islands are basically 2 roads or lanes which meet at one lane and after traveling some distance again split their ways.



3310. Road makers along roads from the edge of a kerb should not be less than
	Ammu, 2015, What is meant by road makers? Please give the answer.
	Neeraj Maurya, 2015, Road marker is the boundary to be road constructed and provide the ability to hold the material of the outer surface.
	Santhi, 2016, Road makers means the road users.
	Osi, 2016, Is the road maker and road marker are same meaning?
	Naveen, 2016, It is the distance between the kerb and the edge of the road.
	Surya, 2016, Road marker means signal board installed besides road.
	Ramu, 2017, Road marker is the instrument used for marking/mark. $%  $% The marking from the edge of the road (or) from kerb should not less than  60cm.
	Garry, 2018, The sign should be placed such that in case of roads  0.6 m away from edges of kerbs. $% 2 to 3 m meter from the carriageway of roads.
	Bobby, 2018, I think kerb shyness is 50cm for 6 laning.
	Sathya H D, 2018, Actually, that is road marking, there is Centre line marking, edge marking, etc. Here, it is asked that what distance the edge marking is painting on road from the edge of the carriageway.
